,Question,Answer,Answer Chunk Index,Chunk_Page_Span,TOP_1,TOP_2,TOP_3,TOP_4,TOP_5
255,How can the Chief Minister perform his functions under the Constitution?,The Chief Minister may perform his functions either directly or through the Provincial Ministers.,133,"(68, 69)","(68,)","(68, 70)","(68, 70, 172)","(68, 70, 172, 69)","(68, 70, 172, 69, 148)"
256,Who leads the Cabinet of Ministers in a province?,The Chief Minister leads the Cabinet of Ministers in a province.,134,"(69, 70)","(77,)","(77, 80)","(77, 80, 172)","(77, 80, 172, 83)","(77, 80, 172, 83, 148)"
257,What happens if no member secures a majority in the first poll for Chief Minister?,"If no member secures a majority in the first poll, a second poll is held between the members who secured the two highest numbers of votes in the first poll, and the member who secures a majority of votes of the members present and voting is declared to have been elected as Chief Minister.",134,"(69, 70)","(68,)","(68, 69)","(68, 69, 70)","(68, 69, 70, 50)","(68, 69, 70, 50, 59)"
258,Can the Chief Minister resign from office?,"Yes, the Chief Minister can resign from office by writing under his hand addressed to the Governor.",134,"(69, 70)","(70,)","(70, 69)","(70, 69, 68)","(70, 69, 68, 172)","(70, 69, 68, 172, 59)"
259,Who needs to be kept updated about the Provincial administration and legislative proposals?,The Governor needs to be kept updated about the Provincial administration and legislative proposals.,135,"(70, 70)","(69,)","(69, 135)","(69, 135, 127)","(69, 135, 127, 73)","(69, 135, 127, 73, 144)"
260,Who appoints the Provincial Ministers in Pakistan?,The Governor appoints Provincial Ministers on the advice of the Chief Minister.,136,"(70, 71)","(69,)","(69, 148)","(69, 148, 172)","(69, 148, 172, 67)","(69, 148, 172, 67, 55)"
261,How can a Provincial Minister resign from office?,A Provincial Minister can resign by writing under his hand addressed to the Governor.,136,"(70, 71)","(70,)","(70, 149)","(70, 149, 150)","(70, 149, 150, 172)","(70, 149, 150, 172, 69)"
262,Who can request the Chief Minister to stay in office until a new one takes over?,The Governor can ask the Chief Minister to continue to hold office until his successor enters upon the office of Chief Minister.,137,"(71, 71)","(70,)","(70, 69)","(70, 69, 68)","(70, 69, 68, 172)","(70, 69, 68, 172, 59)"
263,How many members of the Provincial Assembly are needed to move a vote of no-confidence against the Chief Minister?,Not less than twenty per centum of the total membership of the Provincial Assembly are needed to move a vote of no-confidence against the Chief Minister.,140,"(71, 71)","(70,)","(70, 59)","(70, 59, 68)","(70, 59, 68, 69)","(70, 59, 68, 69, 172)"
264,What happens if a vote of no-confidence is passed by the majority of the Provincial Assembly?,"If a vote of no-confidence is passed by the majority of the total membership of the Provincial Assembly, the Chief Minister shall cease to hold office.",140,"(71, 71)","(70,)","(70, 59)","(70, 59, 62)","(70, 59, 62, 68)","(70, 59, 62, 68, 69)"
265,What determines the extent of a Province's executive authority?,"The extent of a Province's executive authority is determined by the matters on which the Provincial Assembly has the power to make laws, subject to the Constitution.",141,"(71, 71)","(70,)","(70, 75)","(70, 75, 67)","(70, 75, 67, 90)","(70, 75, 67, 90, 76)"
266,What happens when both the Parliament and the Provincial Assembly have the power to make laws on a matter?,"When both the Parliament and the Provincial Assembly have the power to make laws on a matter, the executive authority of the Province is subject to and limited by the executive authority expressly conferred by the Constitution or by law made by the Parliament upon the Federal Government or its authorities.",141,"(71, 71)","(73,)","(73, 137)","(73, 137, 74)","(73, 137, 74, 128)","(73, 137, 74, 128, 86)"
267,Who can recommend that functions be given to officers or authorities under the Provincial Government?,The Provincial Government can make the recommendation.,142,"(72, 72)","(71,)","(71, 75)","(71, 75, 74)","(71, 75, 74, 81)","(71, 75, 74, 81, 172)"
268,In whose name are all executive actions of the Provincial Government taken?,All executive actions of the Provincial Government are taken in the name of the Governor.,143,"(72, 72)","(71,)","(71, 87)","(71, 87, 67)","(71, 87, 67, 76)","(71, 87, 67, 76, 78)"
269,Can the validity of an order or instrument made in the name of the Governor be questioned in court?,"No, the validity of any order or instrument made in the name of the Governor cannot be questioned in any court on the ground that it was not made or executed by the Governor.",143,"(72, 72)","(71,)","(71, 139)","(71, 139, 150)","(71, 139, 150, 55)","(71, 139, 150, 55, 59)"
270,Who appoints the Advocate General for a Province?,The Governor of each Province appoints the Advocate General for the Province.,144,"(72, 72)","(71,)","(71, 172)","(71, 172, 107)","(71, 172, 107, 156)","(71, 172, 107, 156, 93)"
271,Can the Advocate General engage in private practice while holding office?,"No, the Advocate General shall not engage in private practice so long as he holds the office.",144,"(72, 72)","(71,)","(71, 54)","(71, 54, 172)","(71, 54, 172, 107)","(71, 54, 172, 107, 156)"
272,Who is responsible for holding elections for local governments in Pakistan?,The Election Commission of Pakistan is responsible for holding elections for local governments.,145,"(72, 73)","(72,)","(72, 128)","(72, 128, 127)","(72, 128, 127, 123)","(72, 128, 127, 123, 166)"
273,What responsibilities are to be devolved to the elected representatives of local governments?,"Political, administrative, and financial responsibilities and authority are to be devolved to the elected representatives of local governments.",145,"(72, 73)","(72,)","(72, 71)","(72, 71, 15)","(72, 71, 15, 127)","(72, 71, 15, 127, 4)"
274,Who has the authority to make laws for the entire country of Pakistan?,The Majlis-e-Shoora (Parliament) has the authority to make laws for the whole or any part of Pakistan.,146,"(74, 74)","(137,)","(137, 4)","(137, 4, 161)","(137, 4, 161, 136)","(137, 4, 161, 136, 166)"
275,Can a Provincial Assembly create laws for its own province?,"Yes, a Provincial Assembly can make laws for the province or any part thereof.",146,"(74, 74)","(73,)","(73, 67)","(73, 67, 86)","(73, 67, 86, 71)","(73, 67, 86, 71, 137)"
276,Who has the authority to make laws on matters listed in the Federal Legislative List?,Majlis-e-Shoora (Parliament) has exclusive power to make laws with respect to any matter in the Federal Legislative List.,147,"(74, 74)","(111,)","(111, 40)","(111, 40, 73)","(111, 40, 73, 161)","(111, 40, 73, 161, 78)"
277,Can both the Parliament and Provincial Assemblies make laws regarding criminal law and procedure?,"Yes, both Majlis-e-Shoora (Parliament) and a Provincial Assembly have the power to make laws with respect to criminal law, criminal procedure, and evidence.",147,"(74, 74)","(73,)","(73, 172)","(73, 172, 112)","(73, 172, 112, 122)","(73, 172, 112, 122, 137)"
278,What happens if a provincial law conflicts with a federal law in Pakistan?,"If a provincial law conflicts with a federal law in Pakistan, the federal law will prevail, and the provincial law will be void to the extent of the conflict.",148,"(74, 74)","(82,)","(82, 151)","(82, 151, 87)","(82, 151, 87, 154)","(82, 151, 87, 154, 111)"
279,Does it matter if the federal law was passed before or after the provincial law in case of a conflict?,"No, it does not matter if the federal law was passed before or after the provincial law; the federal law will still prevail in case of a conflict.",148,"(74, 74)","(151,)","(151, 73)","(151, 73, 87)","(151, 73, 87, 137)","(151, 73, 87, 137, 82)"
280,Can the Parliament make laws for matters not listed in the Federal Legislation List if the Provincial Assemblies agree?,"Yes, if one or more Provincial Assemblies pass resolutions allowing it, the Parliament can make laws for matters not listed in the Federal Legislation List.",149,"(75, 75)","(73,)","(73, 166)","(73, 166, 74)","(73, 166, 74, 86)","(73, 166, 74, 86, 151)"
281,Can a Provincial Assembly change or cancel a law made by the Parliament for that province?,"Yes, any law made by the Parliament for a province can be amended or repealed by an Act of the Assembly of that Province.",149,"(75, 75)","(73,)","(73, 137)","(73, 137, 86)","(73, 137, 86, 53)","(73, 137, 86, 53, 134)"
282,Can the President assign the Governor of a Province to handle matters outside the Province?,"Yes, the President can direct the Governor to handle functions related to areas in the Federation that are not included in any Province.",150,"(75, 75)","(55,)","(55, 139)","(55, 139, 74)","(55, 139, 74, 71)","(55, 139, 74, 71, 141)"
283,Are the usual rules for the Governor's duties applicable when acting on the President's direction?,"No, the provisions of Article 105 do not apply when the Governor is discharging functions under the President's direction.",150,"(75, 75)","(148,)","(148, 74)","(148, 74, 56)","(148, 74, 56, 141)","(148, 74, 56, 141, 160)"
284,Can the Federal Government assign its functions to a Provincial Government?,"Yes, the Federal Government can assign its functions to a Provincial Government with the consent of that Province.",151,"(75, 76)","(81,)","(81, 82)","(81, 82, 87)","(81, 82, 87, 83)","(81, 82, 87, 83, 75)"
285,What happens if a Province incurs extra costs due to powers and duties conferred by the Federation?,The Federation will pay the Province a sum agreed upon or determined by an arbitrator appointed by the Chief Justice of Pakistan for any extra costs of administration incurred.,151,"(75, 76)","(75,)","(75, 74)","(75, 74, 89)","(75, 74, 89, 141)","(75, 74, 89, 141, 86)"
286,"Can a provincial government assign its responsibilities to the federal government?
","Yes, a provincial government can assign its responsibilities to the federal government with the consent of the Federal Government.",152,"(76, 76)","(81,)","(81, 83)","(81, 83, 82)","(81, 83, 82, 171)","(81, 83, 82, 171, 87)"
287,"What must a provincial government do after entrusting functions to the federal government?
",The provincial government must get the functions so entrusted ratified by the Provincial Assembly within sixty days.,152,"(76, 76)","(81,)","(81, 82)","(81, 82, 75)","(81, 82, 75, 87)","(81, 82, 75, 87, 80)"
288,What must the executive authority of a Province ensure?,The executive authority of a Province must ensure compliance with Federal laws that apply in that Province.,153,"(76, 76)","(75,)","(75, 67)","(75, 67, 70)","(75, 67, 70, 71)","(75, 67, 70, 71, 76)"
289,What is the Federation's responsibility towards the Provinces in terms of protection?,The Federation has the duty to protect every Province against external aggression and internal disturbances.,153,"(76, 76)","(75,)","(75, 127)","(75, 127, 144)","(75, 127, 144, 74)","(75, 127, 144, 74, 83)"
290,Can the federal government give directions to a province regarding communication infrastructure?,"Yes, the federal government can give directions to a province regarding the construction and maintenance of means of communication declared to be of national or strategic importance.",154,"(76, 77)","(81,)","(81, 76)","(81, 76, 80)","(81, 76, 80, 82)","(81, 76, 80, 82, 85)"
291,What can the federal government do if there is a threat to peace or economic stability in Pakistan?,"The federal government can give directions to a province on how to exercise its executive authority to prevent any grave menace to the peace, tranquillity, or economic life of Pakistan or any part thereof.",154,"(76, 77)","(136,)","(136, 82)","(136, 82, 76)","(136, 82, 76, 18)","(136, 82, 76, 18, 156)"
292,Are judicial proceedings from one province recognized in other provinces in Pakistan?,"Yes, judicial proceedings from one province are recognized throughout Pakistan.",155,"(77, 77)","(76,)","(76, 172)","(76, 172, 92)","(76, 172, 92, 149)","(76, 172, 92, 149, 100)"
